投稿日時,曜日,メディアタイプ,フォロワー数,Imp数（全体）,Imp数（ハッシュタグ）,リーチ数,いいね数,いいね率,保存数,保存率,エンゲージメント率,使用ハッシュタグ数,人気投稿掲載数,ハッシュタグ,人気投稿掲載タグ
2023/03/24 12:00,Fri,画像,10228,4744,24,4267,73,0.71%,2,0.02%,0.00684431,17,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街カフェ #阪急三番街スイーツ #大阪梅田 #梅田 #梅田グルメ #Sポイント #ポイ活 #ポイントカード #おでかけカード #阪急阪神おでかけカード ,
2023/03/25 12:01,Sat,カルーセル(3),10228,5693,386,4551,142,1.39%,5,0.05%,0.0134002,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田ディナー #梅田和食 #梅田魚 #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪和食 #大阪魚 #大阪グルメ情報 #焼魚定食と釜戸ごはん梅田食堂 #梅田食堂 #食レポ #焼魚定食 #鰆の西京焼 #和食ごはん #阪急三番街_和食 #阪急三番街_定食 #阪急三番街_寿司海鮮 ,#イロドリ三番街 #hankyusanbangai 
2023/02/01 08:01,Wed,カルーセル(3),10228,5434,330,4597,133,1.30%,16,0.16%,0.0135813,30,3,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街パスタ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田ディナー #梅田パスタ #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪パスタ #大阪グルメ情報 #パスタ #和パスタ #クリームパスタ #兵庫県 #食レポ #こなな #バジル #朝摘み #きたあかり #パスタ好きな人と繋がりたい ,#イロドリ三番街 #阪急三番街ディナー #hankyusanbangai 
2023/02/04 12:01,Sat,カルーセル(3),10228,5498,671,4560,132,1.29%,11,0.11%,0.0130367,30,4,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田ディナー #梅田海鮮丼 #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪海鮮丼 #大阪グルメ情報 #大阪グルメ巡り #マルモキッチン #どんぶり #食レポ #海鮮 #サーモン #イクラ #トロたく #グルメ好きと繋がりたい #魚好きな人と繋がりたい #食べ物グラム ,#hankyusanbangai #イロドリ三番街 #阪急三番街 #阪急三番街ディナー 
2023/02/05 12:01,Sun,カルーセル(3),10228,6510,478,5658,190,1.86%,25,0.24%,0.0195935,30,4,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街テイクアウト #阪急三番街洋食 #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田ディナー #梅田テイクアウト #梅田洋食 #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪テイクアウト #大阪洋食 #大阪グルメ情報 #ミックスグリル #昔洋食みつけ亭 #食レポ #ビフテキ #食べ応え #洋食好きな人と繋がりたい #foodstagam ,#阪急三番街ディナー #hankyusanbangai #イロドリ三番街 #阪急三番街テイクアウト 
2023/02/06 12:00,Mon,画像,10228,5261,1040,4795,110,1.08%,6,0.06%,0.0105733,25,0,#阪急三番街 #hankyusanbangai #三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街カフェ #阪急三番街スイーツ #大阪梅田 #梅田 #梅田グルメ #umedafoodhall #梅田フードホール #梅田芸術劇場 #梅芸 #ミュージカル #ドリームガールズ #dreamgirls #ブロードウェイミュージカル #望海風斗 #福原みほ #村川絵梨 #sara #宝塚 #宝塚歌劇団 ,
2023/02/06 14:00,Mon,画像,10228,5183,1605,4816,101,0.99%,8,0.08%,0.00993528,25,2,#阪急三番街 #hankyusanbangai #三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街カフェ #阪急三番街スイーツ #大阪梅田 #梅田 #梅田グルメ #umedafoodhall #梅田フードホール #梅田芸術劇場 #梅芸 #ミュージカル #ドリームガールズ #dreamgirls #ブロードウェイミュージカル #望海風斗 #福原みほ #村川絵梨 #sara #宝塚 #宝塚歌劇団 ,#阪急三番街ディナー #hankyusanbangai 
2023/02/07 12:00,Tue,画像,10228,4466,1303,4112,80,0.78%,2,0.02%,0.00749886,25,1,#阪急三番街 #hankyusanbangai #三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街カフェ #阪急三番街スイーツ #大阪梅田 #梅田 #梅田グルメ #umedafoodhall #梅田フードホール #梅田芸術劇場 #梅芸 #ミュージカル #ドリームガールズ #dreamgirls #ブロードウェイミュージカル #望海風斗 #福原みほ #村川絵梨 #sara #宝塚 #宝塚歌劇団 ,#hankyusanbangai 
2023/02/07 14:00,Tue,画像,10228,3571,889,3216,64,0.63%,0,0.00%,0.00585277,25,0,#阪急三番街 #hankyusanbangai #三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街カフェ #阪急三番街スイーツ #大阪梅田 #梅田 #梅田グルメ #umedafoodhall #梅田フードホール #梅田芸術劇場 #梅芸 #ミュージカル #ドリームガールズ #dreamgirls #ブロードウェイミュージカル #望海風斗 #福原みほ #村川絵梨 #sara #宝塚 #宝塚歌劇団 ,
2023/02/08 12:00,Wed,画像,10228,4443,1126,3989,74,0.72%,2,0.02%,0.00693747,25,0,#阪急三番街 #hankyusanbangai #三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街カフェ #阪急三番街スイーツ #大阪梅田 #梅田 #梅田グルメ #umedafoodhall #梅田フードホール #梅田芸術劇場 #梅芸 #ミュージカル #ドリームガールズ #dreamgirls #ブロードウェイミュージカル #望海風斗 #福原みほ #村川絵梨 #sara #宝塚 #宝塚歌劇団 ,
2023/02/15 08:00,Wed,カルーセル(3),10228,6075,266,5240,138,1.35%,25,0.24%,0.0148587,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田海鮮丼 #梅田飲み #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪海鮮丼 #大阪グルメ情報 #大阪グルメ巡り #食レポ #海鮮居酒屋あいち #海鮮 #海鮮料理 #究極の一品 #マグロ #鮪 #阪急三番街_和食 #阪急三番街_寿司海鮮 #阪急三番街_丼カレー ,#イロドリ三番街 #阪急三番街ディナー 
